title,content
솔라시아 유스오케스트라 with 손만수,손민수 교수님의 피아노 연주를 직장 보게 되어 너무 좋았습니다.
솔라시아 유스오케스트라  with 손민수,손만수 교수님의 피아노 연주 곡을 직접 접하게 되어 너무  감동적 이었습니다.
정말 좋은 공연이었어요.,"공연 자체로도 좋은 공연었는데, 자연스럽게 환경까지 생각할 수 있어서 더 좋은 공연이었어요."
기타 리싸이틀,장래가 촉망되는 젊은 기타리스트입니다. 브라보!
처음 듣는 바흐 첼로 전곡,"감동적인 경험이었습니다. 
2열에서 바라보는 첼리스트의 열띤 연주는 정말 굉장했습니다. 
그리고 한 자리에서 바흐 첼로 전곡을 듣는 것도 특별했어요. 아마 또 없을 순간이었다고 생각합니다. 
연주자와 바로 앞에서 교감하는 것도 너무 좋았어요. 
본 연주보다 더 훌륭했던 두 곡의 앙코르 공연도 거의 화룡점정이었네요. 

이런 프로그램 넘 좋습니다. 
피터, 깊이 감사드려요. 
첼로가 스스로 노래하게 하는 연주를 내 두 눈으로 보다니!!"
재밌었어요.,"재밌었습니다. 배우분들 연기도 좋았고 스토리, 연출이 지루하지 않았어요.
마녀배우님 너무 인상 깊었습니다.
어린이 관람객이 많았는데 다들 집중해서 잘보더라구요. 
오케스트라도 좋았어요!"
영화와 영화음악의 감동으로 충만한 시간,"[월드 시네마 마티네콘서트]는 공연 구성이 매우 만족스러웠습니다.롯데콘서트홀이 영화관처럼 조명이 어두워지고, 윗부분 화면에서 해당 영화의 주요 내용이 간략하게 소개되었습니다. 아래 연주홀에서는 해당 영화의 음악이 오케스트라의 연주로 진행되는데 영화 화면과 음악이 조화를 이뤄 감상의 깊이를 더했습니다. 화면 영화 소개가 계속되면 오케스트라 연주 볼 수가 없는데, 적당한 시간 영화소개가 되어 나머지 부분은 음악 감상하는데 몰입할 수 있었습니다.라라랜드의 저스틴 허위츠, 러브 어페어의 엔니오 모리꼬네, 웨스틴 사이드 스토리의 레너드 번스타인, 진주만의 한스 짐머, 그리고 한국의 유명 영화 음악, 마녀배달부 키키의 히사이시조 다 주옥같은 곡들이었습니다.히사이시조, 엔니오 모리꼬네의 곡들은 예전 생각이 많이 났습니다.영화와 음악이 주는 묘한 매력을 이번 콘서트로 경험했습니다.최근 듄파트2를 보고 한스 짐머를 다시 보게 되었는데, 이번 콘서트를 듣고 또 한 번 실감하게 되었습니다.봤던 영화는 봐서 좋았고, 이번 콘서트를 통해 처음 알게 된 영화와 영화 음악은 낯설어서 또 좋았습니다.김봉미 지휘자를 비롯하여 오케스트라, 소트라노, 테너, 바리톤, 콘서트 가이드의 조화가 콘서트의 완성도를 높였습니다. 커튼콜 포함 90분간 음악적 감동 충만한 시간이었습니다."
금요일밤을 완벽하게 빛내준 공연,하루의 마지막을 장식하기에 너무나도 뜻깊은 공연이였습니다!!
아침부터 울었어요,"화면 상태가 좋진 않았지만, 담담하게 써내려 간 자막과 함께 들리는 아름다운 음악에 저도 모르게 눈물이...ㅜ  특히 미션의 ost에선 잊고 있었던 단어들이 떠올랐어요.  숭고함. 가볍게 즐기고 지나가는 일상 속에서 묵직한 울림이 느껴져서 너무나감동적이었답니다. 성악가 분의 아름다운 목소리는 마치 천사의 노래 같기도 했구요.
기생충 음악도 너무 좋아서 다녀온 후 유튜브를 찾아서 몇 번을 들었는지 몰라요.
좋은 음악 감사드리고, 다음 공연에도 꼭 관람하고 싶네요."
라보엠,"오페라의 진수를 보여준 멋진 공연,
배우의 실감나는 연기에 감동 ,결말에 눈물이 주르룩
출연진 모두에게 큰 박수를 보낸다"
부산북구문화예술회관-여자는 다 그래,"일단 출연진분들의 연기력과 노래 실력이 대단하였다.
그리고 무대 앞에서 바로 연주를 하는 것도 관람에 즐거운 요소가 되었다.
앞으로도 이런 문화생활을 할 수 있는 프로그램이 많았으면 좋겠다."
